Title,Author,Edition,date,Reviews 1,Ratings 1 1,Genre,BookCategory,Price
The Prisoner's Gold (The Hunters 3),Chris Kuzneski,Paperback,10 Mar 2016,4,8,Action & Adventure (Books),Action & Adventure,220
Guru Dutt: A Tragedy in Three Acts,Arun Khopkar,Paperback,7 Nov 2012,3.9,14,Cinema & Broadcast (Books),"Biographies, Diaries & True Accounts",202.93
Leviathan (Penguin Classics),Thomas Hobbes,Paperback,25 Feb 1982,4.8,6,International Relations,Humour,299
A Pocket Full of Rye (Miss Marple),Agatha Christie,Paperback,5 Oct 2017,4.1,13,Contemporary Fiction (Books),"Crime, Thriller & Mystery",180
LIFE 70 Years of Extraordinary Photography,Editors of Life,Hardcover,10 Oct 2006,5,1,Photography Textbooks,"Arts, Film & Photography",965.62
"ChiRunning: A Revolutionary Approach to Effortless, Injury-Free Running",Danny Dreyer,Paperback,5 May 2009,4.5,8,Healthy Living & Wellness (Books),Sports,900
Death on the Nile (Poirot),Agatha Christie,Paperback,5 Oct 2017,4.4,72,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",224
"Yoga Your Home Practice Companion: A Complete Practice and Lifestyle Guide: Yoga Programmes, Meditation Exercises, and Nourishing Recipes (Sivananda Yoga Vedanta Centre)",Sivananda Yoga Vedanta Centre,Hardcover,"Import, 1 Mar 2018",4.7,16,Sports Training & Coaching (Books),Sports,836
Karmayogi: A Biography of E. Sreedharan,M S Ashokan,Paperback,15 Dec 2015,4.2,111,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",130
"The Iron King (The Accursed Kings, Book 1)",Maurice Druon,Paperback,26 Mar 2013,4,1,Action & Adventure (Books),Action & Adventure,695
Battle for Sanskrit: Is Sanskrit Political or Sacred? Oppressive or Liberating? Dead or Alive?,Rajiv Malhotra,Paperback,20 Jan 2017,4.9,132,Asian History,"Language, Linguistics & Writing",373
Blockchain Revolution: How the Technology Behind Bitcoin and Other Cryptocurrencies is Changing the World,"Don Tapscott, Alex Tapscott",Paperback,"Import, 14 Jun 2018",3.5,17,Banks & Banking,"Computing, Internet & Digital Media",309
Tai-Pan: The Second Novel of the Asian Saga,James Clavell,Paperback,1 Jul 1999,4.1,4,Action & Adventure (Books),Action & Adventure,379
"The Art of Shaolin Kung Fu: The Secrets of Kung Fu for Self-Defense, Health, and Enlightenment (Tuttle Martial Arts)",Wong Kiew Kit,Paperback,15 Nov 2002,5,3,Asian History,Sports,1066
Anil's Ghost,Michael Ondaatje,Paperback,1 Sep 2011,3.8,5,Action & Adventure (Books),Romance,381.22
Superman: An Origin Story (DC Comics Super Heroes),Matthew K Manning,Paperback,26 Feb 2015,5,2,Comics & Mangas (Books),Comics & Mangas,287
My First Book of London,"Charlotte Guillain, Roland Dry",Hardcover,8 Mar 2018,5,1,Children's Mysteries & Curiosities (Books),"Crime, Thriller & Mystery",162
"Naruto: Itachi's Story, Vol. 1: Daylight",Takashi Yano,Paperback,1 Nov 2016,4.9,23,Mangas,Comics & Mangas,587
The Story of Philosophy,Will Durant,Mass Market Paperback,1 Jan 1991,4.5,76,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",291
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D.B. Meysman, Mohamed Ali",Paperback,2016,4.3,5,Artificial Intelligence,"Computing, Internet & Digital Media",352
The Travelling Cat Chronicles,Hiro Arikawa,Hardcover,24 Nov 2018,4.9,10,Action & Adventure (Books),Action & Adventure,339
Messi: Updated Edition (Luca Caioli),Luca Caioli,Paperback,"Import, 4 Oct 2018",5,2,Biographies & Autobiographies (Books),Sports,309
The Dark Arena,Mario Puzo,Paperback,5 Jul 2012,3.1,2,Action & Adventure (Books),Action & Adventure,262
"Sap Fico Beginner's Handbook: Step By Step Acreenshots Guided Handholding Approach to Learning, SAP for Dummies, SAP Books: Volume 1 (SAP FICO BOOKS)",Murugesan Ramaswamy,Paperback,1 Nov 2014,3.1,10,Software & Business Applications (Books),"Computing, Internet & Digital Media",607
German Grammar You Really Need To Know: Teach Yourself,Jenny Russ,Paperback,31 Aug 2012,4.8,9,German,"Language, Linguistics & Writing",536
Stealth of Nations: The Global Rise of the Informal Economy,Robert Neuwirth,Hardcover,"Deckle Edge, 18 Oct 2011",4,1,International Business,Politics,621
Fixed!: Cash and Corruption in Cricket,Shantanu Guha Ray,Paperback,1 Mar 2016,4.3,15,Cricket (Books),Sports,286.98
The Buddha Box Set,Osamu Tezuka,Paperback,"Box set, 15 Jun 2014",4.3,34,Comics & Graphic Novels (Books),Comics & Mangas,3779
30 Years of WrestleMania (Wwe),Brian Shields,Hardcover,15 Sep 2014,5,17,PC & Video Games (Books),Sports,802
"Memories, Dreams, Reflections (Vintage)","C. G. Jung, Aniela Jaffe, Clara Winston, Richard Winston",Paperback,23 Apr 1989,5,9,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",588.26
The Hit (Will Robie series),David Baldacci,Paperback,21 Nov 2013,4,32,Contemporary Fiction (Books),"Crime, Thriller & Mystery",340
"The Archer Files: The Complete Short Stories of Lew Archer, Private Investigator (Lew Archer Series)","Ross Macdonald, Tom Nolan",Paperback,21 Jul 2015,3.9,2,Short Stories (Books),Humour,799
Light on Life (Arkana),Hart Defouw,Paperback,14 Oct 2000,4.4,49,Astrology,"Biographies, Diaries & True Accounts",395.1
The Doomsday Conspiracy,Sidney Sheldon,Paperback,5 Sep 2005,4.2,49,Romance (Books),Romance,225
The Art of Uncharted 4: A Thief's End,Naughty Dog,Hardcover,10 May 2016,4.3,10,Design,Comics & Mangas,1780
HANNIBAL RISING,Thomas Harris,Paperback,2019,4.3,8,Contemporary Fiction (Books),"Crime, Thriller & Mystery",309
Data Structures Using C,Reema Thareja,Paperback,11 Jun 2014,4.4,62,Introductory & Beginning Programming,"Language, Linguistics & Writing",559
Don't Ask Any Old Bloke for Directions,Palden Gyatso Tenzing,Paperback,17 Apr 2009,3.9,61,Travel (Books),"Biographies, Diaries & True Accounts",224
Prince of Fire,Daniel Silva,Paperback,30 Nov 2006,5,1,Action & Adventure (Books),"Crime, Thriller & Mystery",565
HBR's 10 Must Reads: On Making Smart Decisions (Harvard Business Review Must Reads),HBR,Paperback,1 Dec 2013,4.6,8,Sports (Books),Sports,511
Politics and the English Language (Penguin Modern Classics),George Orwell,Paperback,3 Jan 2013,5,7,Communications,"Language, Linguistics & Writing",144
S.,Doug Dorst,Hardcover,28 Sep 2013,4.7,5,Contemporary Fiction (Books),"Crime, Thriller & Mystery",1455.9
Oxford Learner's Thesaurus,Dict.,Paperback,20 Aug 2008,3.8,18,Foreign Languages,"Language, Linguistics & Writing",645
Lost in Translation,Ella Frances Sanders,Hardcover,8 Jul 2015,4.5,16,Linguistics (Books),"Language, Linguistics & Writing",427
Daisy Jones and The Six,Taylor Jenkins Reid,Hardcover,2019,4.6,6,Music Books,Romance,560
Bear Grylls: Two All-Action Adventures: Facing Up - Facing the Frozen Ocean,Bear Grylls,Paperback,3 Jul 2014,5,3,Outdoor Survival Skills (Books),Sports,395.1
My First Book Of Beethoven: Favorite Pieces In Easy Piano Arrangements (Dover Classical Music for Keyboard),David Dutkanicz,Paperback,29 Dec 2006,5,2,Music Books,"Arts, Film & Photography",386
Byculla to Bangkok,S. Hussain Zaidi,Paperback,22 Feb 2014,4.1,98,True Accounts (Books),"Biographies, Diaries & True Accounts",226
Assassin's Creed: Forsaken,Oliver Bowden,Paperback,1 Nov 2012,4.8,12,Action & Adventure (Books),Action & Adventure,303
Mastering Manga with Mark Crilley: 30 Drawing Lessons from the Creator of Akiko,Mark Crilley,Paperback,30 Mar 2012,4.8,14,Mangas,"Arts, Film & Photography",1383
Treasure,Clive Cussler,Paperback,"Import, 12 Jan 2017",3.8,3,Action & Adventure (Books),Action & Adventure,235
The Emergency: A Personal History,Coomi Kapoor,Paperback,16 Jun 2016,4.4,97,Literature,"Biographies, Diaries & True Accounts",427
"Piano Exam Pieces 2019 & 2020, ABRSM Grade 2: Selected from the 2019 & 2020 syllabus (ABRSM Exam Pieces)",Abrsm,Sheet music,"Import, 7 Jun 2018",2,1,Music Books,"Arts, Film & Photography",587
Timeline,Michael Crichton,Mass Market Paperback,5 Oct 2000,4.6,7,Action & Adventure (Books),"Crime, Thriller & Mystery",262
The Longest Night: A collection of poetry from a life half lived,Ranata Suzuki,Paperback,"Import, 24 Aug 2018",5,2,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",769
Besharam,Priya-Alika Elias,Paperback,22 Mar 2019,5,2,Society & Culture (Books),Humour,180
A Handful of Sunshine,Vikram Bhatt,Paperback,21 Apr 2017,4.2,7,Romance (Books),Romance,199
"Footnotes from the World's Greatest Bookstores: True Tales and Lost Moments from Book Buyers, Booksellers, and Book Lovers",Bob Eckstein,Hardcover,4 Oct 2016,4.1,5,Industries & Business Sectors (Books),Humour,370
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,Paperback,7 May 2015,4.7,285,Action & Adventure (Books),Action & Adventure,259
The Blue Lotus (Tintin),Herge,Paperback,1 Jan 2013,4.1,29,Comics & Mangas (Books),"Arts, Film & Photography",444.25
Mastering VBA for Microsoft Office 2016 (SYBEX),Richard Mansfield,Paperback,2016,5,1,Programming Languages (Books),"Computing, Internet & Digital Media",743
The Untold Vajpayee: Politician and Paradox,Ullekh N P,Hardcover,25 Dec 2016,3.7,27,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",360
Brave New World Revisited,Aldous Huxley,Paperback,2 Sep 2004,4,4,Media Studies,Politics,247
Seductive Affair,Rishabh Puri,Paperback,10 Jul 2018,3.2,267,Indian Writing (Books),Romance,88
Things a Little Bird Told Me,Biz Stone,Paperback,27 Apr 2014,4,24,Networks & System Administration (Books),"Computing, Internet & Digital Media",191
The Pickwick Papers (Everyman's Library Classics Series),Charles Dickens,Hardcover,2 Mar 1999,4,7,Classic Fiction (Books),Humour,138
The Tin Drum (Vintage Classics) (Vintage War),Günter Grass,Paperback,7 Oct 2010,4.7,6,Action & Adventure (Books),Action & Adventure,503
Zona: A Book About a Film About a Journey to a Room,Geoff Dyer,Paperback,"International Edition, 7 Mar 2013",5,2,Cinema & Broadcast (Books),Humour,220
Malice,Keigo Higashino,Paperback,12 Oct 2014,4.3,146,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",325
"Death Note Black Edition, Vol. 4",Tsugumi Ohba,Paperback,5 Jul 2011,5,1,Mangas,Politics,573.18
"5 Language Visual Dictionary: English, French, German, Spanish, Italian (Dictionaries)",DK,Hardcover,1 Sep 2016,4,4,Dictionaries,"Language, Linguistics & Writing",1049
A Doll's House and Other Plays (Penguin Classics),"Henrik Ibsen, Deborah Dawkin, Erik Skuggevik, Tore Rem",Paperback,13 Sep 2016,5,1,Linguistics (Books),Humour,413
